,Unnamed: 0,title,full_time,part_time,from_home,freelance_project,internship,shift_based,date,company_and_location,company_info,num_open_pos,num_applicants,num_viewed,in_consid,not_selected,num_of_employees,sector,job_description,job_requirement,exp_years,career_level,edu_level,sex,salary,job_cats,skills_and_tools,link
2980,2980,Personal Assistance - Female,0,0,1,0,0,0,Posted 12 days ago,"Maids In Pink  - Cairo, Egypt",Residential Cleaning Service in Calgary & Edmonton,Applicants for1 open position,161,0,0.0,0.0, 11-50 employees,Hospitality/Hotels,"Act as the point of contact between the manager and internal/external clientsHandle requests and queries appropriatelyManage diary and schedule meetings and appointmentsMake travel arrangementsTake dictation and minutesA detail-oriented person with common sense, and fast learner.",Proven work experience as a Personal AssistantKnowledge of office management systems and proceduresMS Office and English proficiencyOutstanding organizational and time management skillsAbility to multitask and prioritize daily workloadExcellent verbal and written communication skillsDiscretion and confidentialityHigh School degreePA diploma or certification would be considered an advantageFemales only Someone who can work Saturdays,2 to 5 years,Experienced (Non-Manager),Not Specified,Female,Confidential,Administration,"['Secretary', 'Administration', 'Office management']",https://wuzzuf.net/jobs/p/5p4QJLXc18pE-Personal-Assistance---Female-Maids-In-Pink-Cairo-Egypt
2403,2403,HEAD OF ORGANIZATION ENGAGEMENT,1,0,0,0,0,0,Posted 10 days ago,"King Faisal Specialist H... - Riyadh, Saudi Arabia",,1 open position,,,,,,,"SummaryResponsible for leading the design, delivery, review and monitoring of Stakeholder engagement and communications strategy and plan. Engages with stakeholders to identify and address communications needs and supports Culture & Engagement Management Director with developing Organization Engagement strategy and plan.Essential Responsibilities and Duties1. Supports Director of Culture & Engagement Management with the design, development, delivery and management of stakeholder engagement and Organization Engagement activities. 2. Identifies key stakeholders influential to the success of the transformation, and who need to be engaged to secure buy-in. 3. Oversees the deployment of stakeholder engagement plan and run pulse checks. 4. Generates and maintains advocacy at the executive level of the respective Hospital’s and stakeholder buy-in for the implementation project. 5. Oversees and refines stakeholder engagement plans based on feedback. 6. Identifies change agents influential to the success of the transformation and track their support periodically. 7. Involves and mobilizes and Change Agents network and set-up cadence to secure two-way feedback on the specific change being deployed 8. Builds and rollout action plans based on feedback from Change Agents network. 9. Defines Organization Engagement and plan in coordination with Director of Culture & Engagement Management. 10. Ensures adherence to Hospital’s information security policies and procedures, and report breaches or other security risks accordingly.EducationMaster’s or Bachelor’s Degree in Business Administration, Communications, Public Relations, Change Management, or other related discipline is required.Experience RequiredNine (9) years of related experience with Master’s, or eleven (11) years with Bachelor’s Degree, including four (4) years in a senior or supervisory capacity is required. Other Requirements(Certificates)Saudi Nationals Only.",,Not Specified,Not specified,Not Specified,,Confidential,IT/Software Development,"['marketing', 'sales', 'microsoft office', 'information technology (it)', 'management', 'administration', 'business administration', 'business', 'design', 'development', 'implementation', 'communications']",https://wuzzuf.net/jobs/p/Yujq7FCbhQpj-HEAD-OF-ORGANIZATION-ENGAGEMENT-King-Faisal-Specialist-Hospital-Research-Centre-Riyadh-Saudi-Arabia
7690,7690,Sales Account Manager,1,0,0,0,0,0,Posted 1 month ago,"Alarabia Group - Beni Suef, Beni Suef","Our Group business modules:
•	Retail Sales Chain providing excellent customer experience in our showrooms by giving a...",Applicants for3 open positions,27,18,2.0,24.0, 501-1000 employees,"Manufacturing, Retail, Wholesale Trade","Outside Sales Representatives are responsible for increasing sales, Build & develop relationships with potential and existing customers, Manage & Train Promoters in a various Key Accounts, they are responsible for offering the best possible customer experience as well as providing hands-on explanations of any new or updated products when necessary.","Proven work experience as a Sales account manager or Sales account executiveHands on experience in sales and an ability to deliver excellent customer experienceKnowledge of CRM software and MS Office (MS Excel in particular)Understanding of sales performance metricsExcellent communication and negotiation skillsAn ability to deliver projects and answer inquiries on timeBusiness acumen with a problem-solving attitudeBSc degree in Business Administration, Marketing or relevant field",3 to 10 years,Manager,Not Specified,,Confidential,Sales/Retail,"['Sales', 'Marketing', 'sales skills', 'Sales Target']",https://wuzzuf.net/jobs/p/BIhwYFdagMbc-Sales-Account-Manager-Alarabia-Group-Beni-Suef-Egypt
8576,8576,Marketing Executive (Real Estate),1,0,0,0,0,0,Posted 2 months ago,"CELESTE - Nasr City, Cairo","* Celeste is one of the leading companies known in the real estate market in Cairo & Matrouh and Alexandria .
* The c...",Applicants for1 open position,35,29,6.0,23.0, 101-500 employees,"Construction - Residential & Commercial/Office, Real Estate/Property Management","Advances the community and customer experience through online and traditional marketing.Streamlines company  campaigns to ensure a consistent and concise message.Responsible for the effective and professional handling of all customer interactions via outgoing sales call to offer products at regular and special prices to increase sales volume.Develops, implements, and tracks marketing programs such as email, social media, or digital campaigns, and events.Involves expanding the channel partner base and coordinating with them regularly for sales.Markets presentations and product demonstrations, as well as negotiating contracts with potential clients.Manages website design, content, SEO development and tracking analytics to ensure all content is up to date and relevant.Updates knowledge of sales related legal documentation and property management, as well as updating and managing social media profiles.","we are looking for ambitious people who want to grow & excel in a positive work environment.Bachelor’s degree in marketing, communications, or a similar field.More than 2 years experience in Marketing.experience in real estate .Good understanding of market research techniques, data analysis and statistics methods.Strong knowledge of the real estate and housing market.Must possess excellent communication skills and have a positive, upbeat attitude.BenefitsAttractive basic salary .Annual increases not less than 10%  (kpis).provides medical insurance covering up to 50.000 EGP.social insurance.The company pays taxes due on the employee.free buffet.Positive work environment.The company pays a cash allowance in the case of transfers during working time.The work time : 8h with 1h brake , with one day off weekly.Work Location: Salah Salem - Obour Buildings - next to the Fair zone Metro.The company is looking for talent  so it's pays Premium salaries.",2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Marketing/PR/Advertising,"['Communication skills', 'Communication', 'Real Estate', 'Marketing', 'Data Analysis', 'Market Research', 'Research', 'Analysis', 'Digital Marketing', 'Digital Advertising', 'Social Media', 'Content Marketing', 'sales skills', 'Web Development', 'Design', 'Graphic Web Design']",https://wuzzuf.net/jobs/p/J7TLbKXcBT6i-Marketing-Executive-Real-Estate-CELESTE-Cairo-Egypt
3603,3603,Lawyer,1,0,0,0,0,0,Posted 14 days ago,"FRIDAL - 6th of October, Giza","Fridal is a privately owned Egyptian company established in 1957 with its headquarters
located in 6th of October city...",Applicants for1 open position,264,20,6.0,14.0, 501-1000 employees,"Chemicals, FMCG","• Writing and recording contracts and all legal transactions with internal and external parties• Follow up on cases, record developments, and implement rulings• Dealing with government agencies on behalf of all company departments• Registration of trademarks, industrial models and patents• Terminating the necessary licenses for the company’s activities• The ability to innovate and be creative in cases not covered by the law• Follow up on management employees, their level of performance at work, and the implementation of tasks",Bachelors degree in lawExcellent written and verbal communication skillsStrong critical thinking and research skillsExcellent decision-making and problem-solving skillsAbility to work autonomously and with a team of attorneys,5 to 6 years,Experienced (Non-Manager),Not Specified,,Confidential,Legal,"['Law', 'lawyer', 'Legal']",https://wuzzuf.net/jobs/p/O12wFb1xnMEm-Lawyer-FRIDAL-Giza-Egypt
3383,3383,Alexandria English Instructor,1,1,0,0,0,0,Posted 13 days ago,"4level1 - Alexandria, Egypt",We help people  improve their English language skills by providing high quality language instruction in an environmen...,Applicants for1 open position,7,6,6.0,1.0, 101-500 employees,Education,"The following are the key duties & responsibilities related to the position, not limited to:Preparing and delivering lessons to improve students' reading, writing, and conversing skills.Developing educational content such as lesson plans and quizzes.Assigning activities to facilitate students' consolidation of 4level1 learning material.Tailoring your teaching style in accordance with students' needs.Managing interpersonal dynamics to ensure that the class is conducive to learning.Tracking and reporting on students' progress.Remaining knowledgeable about and respectful of cultural differences within the classroom.","Bachelor's degree in education with a specialization in English (or equivalent).Minimum 2 years’ experience as an English teacher, preferably within a similar environment.Outstanding verbal and written communication skills.Organized and attentive to students' need",Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,,"Confidential, Medical Insurance",Customer Service/Support,"['Education', 'English', 'English Teacher', 'Instructor', 'Teacher', 'Teaching', 'Training', 'Communication skills']",https://wuzzuf.net/jobs/p/wfcNQvfsRTN6-Alexandria-English-Instructor-4level1-Alexandria-Egypt
3537,3537,Live Operations Specialist,1,0,0,0,0,0,Posted 14 days ago,"Octane solutions  - Cairo, Egypt","Get access to Octane's 650+ station network all over Egypt and fuel your fleet in a cashless, controlled, and streaml...",Applicants for1 open position,66,42,0.0,0.0, 51-100 employees,Information Technology Services,"Responsible for day-to-day live operations.Assist with the implementation of new processes and procedures.Identify ways to improve customer experiences.Interact with customers in answering questions, and resolving issues.Daily live Tracking for transactions to maintain sufficient service to the customers.Troubleshoot and investigate fraud and troubled transactions.Monitor, anticipate and manage the live operation to ensure a great user experienceLead the communication with the fleet for customers.Ensure a smooth operation by coordinating communication with Customers, stations and other internal support teams.",Bachelor's Degree in any related discipline.Excellent communication skills.Excellent Computer skills Very Good to Excellent English.Willing to work in shift rotations (am/pm/midnight shift) to ensure we have 24/7 service levels.1-3 years of experience and understanding of operations & logistics business.Previous experience in a similar position related to operations or customer support/care.,1 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Customer Service/Support,"['Communication', 'Communication skills', 'computer', 'Computer Skills', 'Customer Care', 'Customer Service', 'English', 'Logistics', 'Operations', 'business', 'Skills']",https://wuzzuf.net/jobs/p/kUwq2qNDGKOI-Live-Operations-Specialist-Octane-solutions-Cairo-Egypt
8830,8830,Operation Officer - Beltone Consumer Finance,1,0,0,0,0,0,Posted 2 months ago,"Beltone Financial  - Cairo, Egypt","Beltone Financial is a leading regional investment bank, offering a full range of financial services to companies, in...",Applicants for30 open positions,141,67,15.0,0.0, 101-500 employees,Financial Services,"Duties & Resonsbilites :Responding to all inquiries and requests for credit file information and changes in a timely manner.Booking and funding new customer loans and applying modifications or renewals to any existing loans.Deducting the upfront fees and charges pre-booking the loan amountsPosting loan cash payments.Updating the interest rate tables as neededUploading all documents to the Document Management System for referenceHandling all early and partial, closures and write-off settlements after acquiring the appropriate approvalsReview daily operation reports to ensure files are up to dateResponsible for manually processing the seasonal offerings and appropriate deals on the loan processing system in a timely mannerComply with the credit operation KPIs’ turn-around-time.Assist in drafting the policies and procedures related to credit administration and developing the department’s credit administration cycle and direct activities.","Required Skills and Qualifications : Bachelor’s degree in business, accounting, finance, or related fieldAware of sales operation duties 2 -3 years’ experience in FinTech/Banking operations sector  knowledge of banking compliance regulationsExcellent analytical and problem-solving skillsAbility to multitask and prioritize in a fast-paced environment",2 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Administration,"['Finance', 'Administration', 'Banking', 'operation', 'Operations', 'business', 'Compliance']",https://wuzzuf.net/jobs/p/7PaG4yHZnNlM-Operation-Officer---Beltone-Consumer-Finance-Beltone-Financial-Cairo-Egypt
6053,6053,Inventory Controller,1,0,0,0,0,0,Posted 1 month ago,"floward - Cairo, Egypt","Founded in 2017, Floward is an online flowers and gifting company; we pride ourselves on creating a seamless experien...",Applicants for1 open position,517,508,4.0,503.0, 11-50 employees,Internet/E-commerce,"Perform critical inventory tasks to ensure the correct number of items are in stock. Maintain updated and accurate records of inventory, including transfers and cycle counts Assess inventory output on a daily, weekly, or monthly basis to identify trends in productivity Review documentation and monitor product codes to search for discrepancies; troubleshoot quantity discrepancies between stock and records Develop and implement improvements to existing operational procedures in order to maximize efficiency and cut operations costs File claims when defective products are discovered. Coordinate with procurement and warehouse functions. Respond to sales inquiries and purchase orders; collect and analyze data to determine appropriate order quantities; process orders for shipment. Review operations schedules and production requirements to ensure timely order fulfillment. Track rates of accuracy, purchase and return as well as defective items to inform quality control decisions. Prepare, generate, and file financial inventory reports; review reports monthly with management. Maximize availability of all top moving products and items. Check date-sensitive products for expiration and facilitate removal or transfer of product as needed. Take ownership to minimize damage items and products. Tracking inbound and outbound orders to prevent overstocking and out-of-stock (OOS). Analyzing and reviewing supply chain data to identify and resolve issues. Can travel from one warehouse to another warehouse within the city.","Associate’s or Bachelor’s degree in business operations, logistics, mathematics, or related field preferred Prefer to have at least 1 year of e-commerce inventory experience Aptitude for counting and inventory management. Data analytical Bi-lingual (English and Arabic) MS Excel Expert",1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,5000 to 7000 EGP Per Month,Accounting/Finance,"['business', 'Commerce', 'E-Commerce', 'English', 'excel', 'inventory', 'Inventory Control', 'Inventory Management', 'Logistics', 'Management', 'Operations', 'Supply Chain']",https://wuzzuf.net/jobs/p/CeolWBuct9zT-Inventory-Controller-floward-Cairo-Egypt
3102,3102,Talent Acquisition Manager,1,0,0,0,0,0,Posted 13 days ago,"Riyadh Air - Riyadh, Saudi Arabia",,People have clicked1 open position,10,,,,,,"Riyadh Air, headquartered in the Saudi Capital, is the new national airline that’s shaping the future of flying. It seeks to lead the aviation industry by transforming Saudi Arabia into a global aviation and trade hub – a new, digitally native airline, connecting the kingdom to more than 100 destinations.JOB PURPOSE:We are looking for a qualified Talent Acquisition Manager who will provide insight to regional recruitment market and will be able to manage the hiring process. The recruitment manager is responsible for defining manpower requirements and executing the organization’s recruitment strategy by carrying out all talent acquisition and hiring processes.The Talent Acquisition Manager responsibilities include working with all departments to identify human capital requirements and providing resources to ensure business growth and continuity according to the airline’s policies, procedures, and processes.  KEY ACCOUNTABILITIES:Develop convenient methodology (frameworks, processes and templates) for manpower planning.Coordinate with departments to define manpower needs and hiring requirements as well as analysing manpower gaps and incorporate them into the recruitment strategy.Ensure fair and equitable treatment is provided to all new joiners.Make sure all contracts and packages offered to candidates are in line with company’s compensation and benefits system.Develop, implement, and administer recruitment strategies including recruitment channels and screening techniques.Translate manpower plan into human resources budget and present options and recommendations to senior management.Manage the entirety of the recruitment cycle including candidate sourcing, screening, and hiring, in addition to tracking the progress of the recruitment process.Oversee the recruitment activities and make sure all needed feedback forms are filled and reference checks are conducted as per company policy.Oversee the activities of vendors and ensure quality and cost-effective service is provided within the allocated budget.Gather feedback from concerned functional leads regarding interaction with vendors and ensure corrective actions are taken if needed.Develop and document recruitment processes to assist in the implementation of automating efforts.Build and manage onboarding experience process and implement it to help candidates have a great onboarding journey when joining the company, as well as ensuring customer experience with highest standards.Manage OS employees and OS companies.Manage the Saudization in hiring as per the government requirements and ensure the company is aligned with the updates from all regulators.Manage the internal equity when building offers.Support in building the recruitment system for Riyadh Air.Coordinate with the Government Relations regarding visas required for recruited candidates.Perform any related activities according to business requirements.PROFESSIONAL EXPERIENCE:Minimum of 7 years of experience as a recruiter, with 2 years of managerial experience.ACADEMIC QUALIFICATIONS:Bachelor’s degree in business administration, Human Resources or any relevant fields.SKILLS:Leadership skillsKnowledge of employment law & complianceKnowledge of the region and regional talent marketsDecision making and performance management.Negotiation skillsTalent developmentGood interpersonal skillsStrong sense of initiative and accountabilityHigh level of professionalism and work ethicsAdaptability and desire to work in an evolving/start-up environment where policies and processes are being createdExcellent verbal and written communication skillsThe city that is already transforming the way we live is now redefining the way we fly. Riyadh Air, a brand-new chapter in the sky. The new national airline that’s shaping the future of flying.",,Not Specified,Not specified,Not Specified,,Confidential,Human Resources,"['Human Resources (HR)', 'Recruitment', 'Talent Acquisition', 'Interviewing', 'HR', 'Microsoft Office', 'English', 'Hiring', 'Screening', 'Business Administration', 'Sourcing', 'Talent Management', 'Personnel', 'Performance Management', 'Management', 'Training', 'Computer Skills', 'OD', 'Human Resources', 'CBI']",https://wuzzuf.net/jobs/p/ilWLasb5XjOJ-Talent-Acquisition-Manager-Riyadh-Air-Riyadh-Saudi-Arabia
8884,8884,"Customer service representative/backoffice (mail&chat),English account",1,0,0,0,0,0,Posted 2 months ago,"Etisalat Egypt - Maadi, Cairo","Etisalat Misr is a subsidiary of Etisalat group with total presence in 20(*) countries across Africa , middle east an...",Applicants for1 open position,105,42,0.0,0.0, More than 1000 employees,Telecommunications,"Etisalat UAE is hiring immediately at  English account (Non-voice account) * #males_females #graduate  * English level (Fluent) * available age up to  32 Benefits:* salary 7300 (6500 net + 800 kpi's) * COLA increase after 6 months 15%* social & medical, insurance * free vpn line * Fully paid training * chance to get promoting after 6 months depending on your performance Working conditions:* 8 hours, 1 hour break (rotational)* 5 working days and 2 days off (rotational)*location: Maadi","Etisalat UAE is hiring immediately at  English account (Non-voice account) * #males_females #graduate  * English level (Fluent) * available age up to  32 Benefits:* salary 7300 (6500 net + 800 kpi's) * COLA increase after 6 months 15%* social & medical, insurance * free vpn line * Fully paid training * chance to get promoting after 6 months depending on your performance Working conditions:* 8 hours, 1 hour break (rotational)* 5 working days and 2 days off (rotational)*location: Maadi",0 to 5 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,"6500 to 7300 EGP Per Month, 7300 ( 6500 net + 800 kpis)",Banking,"['Customer Care', 'Customer Service', 'Customer Support', 'Call Center', 'backoffice', 'Technical Support', 'Outbound Calls', 'Inbound Calls', 'mails', 'chat', 'mail', 'Web Chat', 'non voice', 'English speakers', 'English account', 'English', 'Sales', 'Marketing', 'Data Entry', 'English Teaching', 'English Training', 'English Education', 'English Instructing', 'English Literature', 'Business English', 'English Translation', 'translators', 'Translation']",https://wuzzuf.net/jobs/p/MWtWgTTl7ZLs-Customer-service-representativebackoffice-mailchatEnglish-account-Etisalat-Egypt-Cairo-Egypt
5676,5676,Online English instructor,0,0,1,1,0,1,Posted 28 days ago,"English path - Cairo, Egypt",English Path is a dynamic educational institution that is committed to advancing the boundaries of English language a...,Applicants for1 open position,91,41,12.0,24.0, 11-50 employees,"Education, Training and Coaching",Organize classroom lectures and courseworkPrepare materials and activitiesAssign homework and interesting exercisesKeep a record of students’ attendance and gradesResearch new language teaching methodsManage classroom crises and resolve conflictCollaborate with teaching staff and administrators to foster a good student experience,Previous experience as an English teacherKnowledge of various teaching methodsDeep understanding of the national curriculum and English language requirementsExceptional organizational and communication skillsA patient and resilient personalityDedication to students and education,0 to 4 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Education/Teaching,"['English', 'english language', 'Instructor', 'language', 'Training', 'Teaching', 'Education', 'Communication', 'Curriculum']",https://wuzzuf.net/jobs/p/XpsBNcjveJXT-Online-English-instructor-English-path-Cairo-Egypt
273,273,Media Buyer,1,0,0,0,0,0,Posted 1 day ago,"Victory Link - Maadi, Cairo","Victory Link provides mobile, internet, VAS and a digital solution to the world's leading brands and mobile operators...",Applicants for1 open position,34,7,0.0,6.0, 101-500 employees,Marketing and Advertising,"Victorylink is looking for a creative and experienced Media Buyer to join one of its subsidiaries iRead. iRead is a fast-growing startup that has a mission to re-encourage and promote for reading and writing through a platform where you will find everything related to reading.Main Job Duties:• Help identify target audiences and plan media campaigns • Compare and negotiate rates, ad space and airtime • Optimize plans and budgets according to the best media mix • Prepare schedules and adjust when needed • Experiment with new platforms and channels • Ensure ads are creative and displayed appropriately • Monitor costs and return on investment (ROI)","Proven experience as Media Buyer or similar role; experience in digitalmedia is preferred • Familiarity with media-buying, planning and research • Interest in following advertising and media trends • Working knowledge of media analytics software  • Excellent communication and negotiation skills • Organizational and multitasking abilities • Attention to detail • Critical thinking skills • BSc/BA in Marketing, Advertising or related field",2 to 5 years,Experienced (Non-Manager),Not Specified,,Confidential,Marketing/PR/Advertising,"['Google Adwords', 'Media Planner', 'Media', 'Business Administration', 'Mass Communication', 'SEM', 'GDN', 'Research', 'Buyer', 'Communication Skills']",https://wuzzuf.net/jobs/p/IWN35dqM09O5-Media-Buyer-Victory-Link-Cairo-Egypt
908,908,Java Software Engineer,1,0,0,0,0,0,Posted 5 days ago,"Jumia - Cairo, Egypt","Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia’s mission is to improve the quality of ev...",Applicants for4 open positions,14,1,0.0,1.0, 101-500 employees,"Internet/E-commerce, Retail","About Jumia:Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia’s mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers.Our platforms among others, comprises of:Marketplace, where we integrate with our sellers and manage products;Mall, which is our core e-com platform that enables customers to buy products;Logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our external clients;Payment service, which facilitates transactions among participants active on our platform in our markets.Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery.With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating a sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs and skills, and empowering a new generation. About Jumia Cairo Tech CenterWant to be part of the biggest tech center in Africa and work in mixed teams with over 16 different nationalities? Join Jumia Cairo Tech Center where tech meets purpose. At Cairo Tech Center you will be managed by and mentored by top tech leaders in both Portugal and Egypt. You will also be working with state of the art technologies & methodologies, and using agile philosophy, all as means to improve the lives of millions of Africans across the continent by offering them convenient and affordable online solutions. And with that as our PURPOSE, innovation at Jumia NEVER stops and you will be moving from one exciting challenge to the next.What you will be doing:You will be part of an agile team that develops e-commerce, smart logistics, and payment solutionsYour work will integrate a service oriented architecture using state- of-the-art technologies and software development practices; You will own your services and be responsible end-to-endYou will take ownership for your code to be qualitatively high and you will support your colleagues in code reviewsYou will change the Internet landscape in Africa and the World one line of code at a time","What we are looking for:Minimum of 3 years of experienceExperienced with Object Oriented Programming (OOP)Experience with development in Java (and ideally Spring Boot framework)Acquainted with building testable code, unit tests and/or integration testsKnowledgeable of software design and architecture patternsKnowledgeable of SQL and relational databasesFluent in English",5 to 8 years,Experienced (Non-Manager),Not Specified,,Confidential,IT/Software Development,"['Software Development', 'Software engineer', 'Computer Science']",https://wuzzuf.net/jobs/p/PHobDK4cYPeI-Java-Software-Engineer-Jumia-Cairo-Egypt
4314,4314,Computer Sales Representative,1,0,0,0,0,0,Posted 20 days ago,"Confidential Company - Nasr City, Cairo",,Applicants for2 open positions,24,6,0.0,0.0,,,Computer and electronics salesAbility to achieve Target---------------------------------------------------------------------,V. good command of EnglishExperience in same field High communication skillsV. good knowledge of Computers and other electronics,1 to 7 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,"3000 to 5000 EGP Per Month, Comm",Sales/Retail,"['Computers', 'Sales', 'sales skills', 'Computer Skills', 'Sales Target', 'Electronics', 'Customer Service', 'Communication']",https://wuzzuf.net/jobs/p/KGRjOaQGsPmF-Computer-Sales-Representative-Cairo-Egypt
390,390,RFQ FOR W &T GAUGE MAKE : SLB || 23082315_JM,1,0,0,0,0,0,Posted 2 days ago,"Sio365 - Dubai, United Arab Emirates",,1 open position,,,,,,,Rfq for w &t gauge make : slb || 23082315\_jmCompany Name :* JLXLocation : Dubai United Arab EmiratesEnquiry Ref Number : 122139Requirements :1. W type DUAL GAUGE \_EQUARTZ QTY 02 NosPart Number : 1029285522. T type DUAL GAUGE \_EQUARTZ QTY 02 NosPart Number : 1029493163. T type DUAL GAUGE\_METRIS EVOLVE QTY 02 NosPart Number : 1029855354. W type DUAL GAUGE\_METRIS EVOL,,Not Specified,Not specified,Not Specified,,Confidential,IT/Software Development,"['rfq', 'gauge', 'slb', 'jlxlocation', 'requirements']",https://wuzzuf.net/jobs/p/vGsixy8r5DHB-RFQ-FOR-W-T-GAUGE-MAKE-SLB-23082315JM-Sio365-Dubai-United-Arab-Emirates
5602,5602,Product Specialist for Medical Devices,1,0,0,0,0,0,Posted 28 days ago,"Soit Medical - Cairo, Egypt",We are a pioneer company working since 1990 in the field of medical products importation and distribution all over Eg...,Applicants for2 open positions,37,15,6.0,19.0, 51-100 employees,Other - Not Classified,"Are you a passionate and knowledgeable veterinarian looking for a dynamic career opportunity? We have an exciting job vacancy for a Product Specialist for Medical Devices. Join our team and contribute to the advancement of veterinary medicine in Cairo and Giza! - Provide product demonstrations, training, and technical support to veterinary clinics and     professionals.- Develop and maintain strong relationships with veterinarians, vet clinics, and key stakeholders in the industry.- Conduct market research to identify potential clients and stay updated on industry trends.- Collaborate with the sales team to achieve sales targets and promote our range of high-quality medical devices.- Participate in veterinary conferences, seminars, and exhibitions to showcase our products and expand our network","- Graduated from a reputable veterinary school.- Previous experience working within vet clinics, preferably in a medical device or pharmaceutical role.- Strong knowledge of veterinary medical devices and equipment.- Excellent communication and presentation skills.- Ability to build and maintain relationships with veterinary professionals.- Cairo or Giza resident, with the flexibility to travel within the region.- Female candidates are preferred for this position.",0 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Medical/Healthcare,"['Medical', 'medical device', 'Vet', 'Veterinary', 'Medical Sales', 'Medical Devices Sales']",https://wuzzuf.net/jobs/p/5RPcDKixMdjv-Product-Specialist-for-Medical-Devices-Soit-Medical-Cairo-Egypt
1000,1000,CEO Assistant,1,0,0,0,0,0,Posted 5 days ago,"Do Outsource - Giza, Giza","Outsourcing payroll, Blue collar and white collar. Production and warehouse labour",Applicants for1 open position,48,15,4.0,11.0, More than 1000 employees,"Human Resources, Outsourcing/Offshoring, Recruitment and Staffing","Reporting to senior management and performing administrative duties.Typing, formatting, and editing reports, documents, and presentationsDrafting and writing high-quality reports and presentations, as required by the CEO.Entering data, maintaining databases, and keeping records.Monitor and respond to incoming emails (including complaints) to CEOArrange specific tasks with operation team. act as a project manager in some cases. Act as a liaison and provide support to the Board of Directors. Arrange and handle all logistics for Boardmeetings and events: schedule meetings; draft agendas; develop, compile, and distribute presentation materials;and record meeting minutes on behalf of Board Secretary. Adhere to compliance with applicable rules andregulations set in bylaws regarding Board matters.• Complete a broad variety of administrative tasks that facilitate the CEO’s ability to effectively lead theorganization, including: assisting with special projects; designing and producing complex documents, reports,and presentations; collecting and preparing information for meetings with staff and outside parties; composingand preparing correspondence; maintaining contact lists; making travel arrangements; and completing expenseand mileage reports.• Serve as the primary point of contact for internal and external constituencies on all matters pertaining tothe CEO, including those of a highly confidential or critical nature. Prioritize and determine appropriate course• Work closely with the CEO to keep them well informed of upcoming commitments and responsibilities,following up appropriately. Act as a ""barometer,"" having a sense for the issues taking place in the environmentand keeping the CEO updated. Anticipate CEO’s needs in advance of meetings, conferences, etc.• Coordinate all Executive Team meetings and retreats and assist with staff meetings and events as needed.• Provide ""gatekeeper"" and ""gateway"" role, providing a bridge for smooth communication between the CEOand staff, demonstrating leadership to maintain credibility, trust, and support with the Executive Team.Complete projects by assigning work to appropriate staff, including the Executive Team, on behalf of the CEO.• Work with the Executive Team to coordinate the CEO’s outreach activities. Follow up on contacts made bythe CEO to cultivate ongoing relationships.• Manage all aspects of organization’s office services. Evaluate and assist in developing office policies andprocedures for improved work flow and anticipate future needs as organization grows. Assist in the selection ofvendors and purchase equipment, services, and supplies necessary for operation of organization.• Manage information systems operations including hardware, software, desktop support, internaltelecommunications, and strategic systems development and planning. Provide leadership to all levels of the• Replenish office materials such as snacks, printer supplies, paper, office supplies, etc.• Provide event management support as requested.• Provide hospitality to all guests and help to create a welcoming environment.• Process and distribute daily mail.• Invest in building long-lasting relationships both externally and internally.• Manage petty cash reimbursements and reconciliation.• Other projects/duties as assigned for the overall benefit of the organization.","English Language Fluency speaking, write and read.Experience Needed:2 To 5 YearsBachelor’s degree in Business AdministrationExcellent in Using Microsoft is Must.financial software programs, ERP System background (Odoo is plus)Professionalism and confidentialityWork experience as an Executive Assistant, Personal Assistant or similar roleOutstanding organizational and time management skillsFamiliarity with office gadgets and applications (e.g., e-calendars and copy machines)Discretion and confidentiality are MUST.BA diploma or MBA certification is a plus.",2 to 5 years,Experienced (Non-Manager),Master's Degree,Female,"Confidential, Medical care and Life insurance",Administration,"['Executive Assistant', 'Business Administration', 'Management', 'English', 'business', 'personal assistant']",https://wuzzuf.net/jobs/p/9pHMa3lQOkFI-CEO-Assistant-Do-Outsource-Giza-Egypt
